StopID_Route,WhiteAlone,BlackorAfricanAmericanAlone,AmericanIndianandAlaskaNativealone,AsianAlone,HawaiianPacificIslander,OtherRace,TwoPlusRaces,Owner occupied,Renter occupied,Age15to24,Age25to34,Age35to44,Age45to54,Age55to59,Age60to64,Age65to74,Age75to84,Age85andOver,tot_blk_area_sq_mi,areaPcBlockInStop
7675-38,373.2173080100289,10.839256155711121,2.9098429403507624,6.668103413491482,0.0,1.9193630052686874,4.83864162235172,151.11943886900477,249.2730762781979,17.76853020170485,83.67616090622109,71.45200399147411,74.90398949848372,42.52127057186304,32.68437187037973,43.23917245700727,25.400706182601475,8.746309467467368,0.17269600000000002,6.972005240081091
7679-38,299.7300621034862,2.1273573003110844,0.0,1.56644752272228,0.4196969696969697,5.656143230527291,2.7385561605707256,287.3525713443607,24.885691942953923,4.056742473103231,46.7434249681338,60.81644819292541,66.35050122258146,40.09638909771992,35.44076279667459,24.681659870893586,23.922580509092302,10.129754156190302,0.17270799999999997,15.693145239944862
768-27,1030.9096204796872,49.28355625001852,1.7538026942450982,116.92953636192598,0.004924242424242424,20.072969980158096,26.9081281151469,102.92322779391512,1142.9393103296911,669.0317937629559,310.27522263138826,73.4532030402041,87.47784533040345,39.168795938609215,27.23863270255482,27.371294582285053,8.684646582936072,3.161103552269466,0.172739,16.49151957030626
768-5,1030.9096204796872,49.28355625001852,1.7538026942450982,116.92953636192598,0.004924242424242424,20.072969980158096,26.9081281151469,102.92322779391512,1142.9393103296911,669.0317937629559,310.27522263138826,73.4532030402041,87.47784533040345,39.168795938609215,27.23863270255482,27.371294582285053,8.684646582936072,3.161103552269466,0.172739,16.49151957030626
768-75,1030.9096204796872,49.28355625001852,1.7538026942450982,116.92953636192598,0.004924242424242424,20.072969980158096,26.9081281151469,102.92322779391512,1142.9393103296911,669.0317937629559,310.27522263138826,73.4532030402041,87.47784533040345,39.168795938609215,27.23863270255482,27.371294582285053,8.684646582936072,3.161103552269466,0.172739,16.49151957030626
7680-32,219.11709177801924,25.498791232961963,1.3620204762317476,4.081001639669238,0.0,2.5243846519563755,4.885949248194105,163.70202379325798,93.76721523377464,13.512983182515956,61.53810834474463,48.07760467621443,56.618091381974565,26.794279455638165,17.766740517975215,22.572690982084954,7.594687857389859,2.994052628494883,0.17270800000000003,2.3856686108865794
7680-35,219.11709177801924,25.498791232961963,1.3620204762317476,4.081001639669238,0.0,2.5243846519563755,4.885949248194105,163.70202379325798,93.76721523377464,13.512983182515956,61.53810834474463,48.07760467621443,56.618091381974565,26.794279455638165,17.766740517975215,22.572690982084954,7.594687857389859,2.994052628494883,0.17270800000000003,2.3856686108865794
7689-39,260.7017588015333,12.726801934081093,1.181936771025169,5.693373360167657,0.0,3.9436217551374275,6.312579415484463,204.99337546580682,85.5666965716222,15.445384364416961,56.197231328548035,58.71237570262357,57.19632597317668,32.70038573220375,22.93314740482574,23.78508961420801,15.653542924939764,7.936588992486567,0.172723,16.967939915625585
7694-16,208.3604720090598,10.980377795967215,0.313182934315531,1.565914671577655,0.0,4.2288513938548045,2.3856737840059408,172.68943911308702,55.14503347569393,8.213871873488099,31.830101967629297,38.69145190542095,39.26433126738135,24.922438885586455,18.822258065725432,24.858717533299963,32.961738158014654,8.26956293223475,0.172745,9.84706974631569
7699-33,254.02875711096007,8.544698385923171,0.2652078172309386,1.318037545745793,0.2652078172309386,0.33924231593995713,1.1807763596372105,256.61074191779255,9.331185434875556,1.2267978972297287,19.46761220128847,31.324868206692265,60.189858951647885,31.256355052091624,40.40501437740662,44.82454627761548,31.89630184123986,5.350572547456174,0.17267799999999997,6.840554057360827
77-80,794.6006829680099,27.274275738773074,3.426653260758558,132.75040062704352,0.32357362487188246,7.688957636170839,19.920489825554426,2.3519211663614854,983.6331125148208,899.2615377159045,24.87158917788914,8.556827492441244,18.912371433896993,13.136536748336342,9.504311764387207,9.961881110512376,1.256248211580333,0.5237300262341998,0.172732,23.20927109559602
770-5,313.6816206856835,79.31855281517416,3.750389990643747,95.71731545231818,0.0,11.974863408993622,10.639484475819367,12.254424800617755,502.8278020280149,78.52682706396216,102.40745566799292,67.6296327581001,125.91745347551306,36.90234009369672,45.731426498565874,39.29857613212853,12.437697132629983,6.230818006043345,0.17274699999999998,6.882039305124271
7706-39,268.83496280638195,6.3778767565314425,1.0540557636802899,1.1066161884690202,0.0,3.0821344428719786,3.994169139341704,250.02055759526945,34.42925750200688,3.4279441437768177,46.52146655089003,48.207971825933036,67.3325115724557,30.74976126118885,22.092795580672306,26.013859185768798,25.04593264382501,15.0575723327658,0.17267400000000005,10.005229548379718
7716-16,292.93297031735653,8.849165435003396,1.1712246777163904,3.8201575724611407,0.0,1.751373968088811,5.276378452903665,252.01234963473985,61.788920788790165,7.11598829588472,57.75459611508167,64.88099636523661,62.111498307533985,36.69935560764441,24.129859431277662,31.128138567124132,23.878703943307546,6.102133790439288,0.17272700000000005,15.800470113768313
7717-33,181.65127197358615,11.5021185338199,0.26578187071144815,1.9119722836631436,0.0,2.78019668448847,1.9724381049021842,124.30314025428427,75.78063919688695,10.127382062154382,69.08263807790365,43.278092196995765,30.370650989209956,17.006094769272305,22.186453940734122,5.732391266020399,2.1671852135249505,0.13289093535572408,0.17265400000000009,15.098362608863274
7718-37,221.80708922657246,7.088547400731128,0.7600654515327256,1.712808591509836,0.0,1.7514028038494105,4.235370024830489,176.0753425378543,61.27994096117178,1.6878397671472396,44.338969358693184,56.41479876175999,50.66993873451899,21.614696877811962,22.940144311942912,22.29065075026965,14.586739363370738,2.811505573511433,0.17269400000000001,10.646505145082454
7718-38,221.80708922657246,7.088547400731128,0.7600654515327256,1.712808591509836,0.0,1.7514028038494105,4.235370024830489,176.0753425378543,61.27994096117178,1.6878397671472396,44.338969358693184,56.41479876175999,50.66993873451899,21.614696877811962,22.940144311942912,22.29065075026965,14.586739363370738,2.811505573511433,0.17269400000000001,10.646505145082454
