speed_limi,funct_clas,sidewalk,StopID,Route,len_mi
45,6,,9977,6,0.22415
45,6,,9198,6,0.07209
45,6,,9842,6,0.00468
45,6,,9977,6,0.01268
45,6,,9140,36,0.07073
45,6,,9264,26,0.22528
45,6,,9310,36,0.04697
45,6,,9412,26,0.08905
45,6,,9615,26,0.05414
45,6,,9701,26,0.15039
45,6,,9720,26,0.08219
45,6,,9140,36,0.02317
45,6,,9264,26,0.01737
45,6,,9310,36,0.22894
45,6,,9412,26,0.09591
45,6,,9615,26,0.22894
45,6,,9620,36,0.02287
45,6,,9701,26,0.00607
45,6,,9720,26,0.22894
45,6,,9118,26,0.14707
45,6,,9264,26,0.17489
45,6,,9310,36,0.15035
45,6,,9349,26,0.24719
45,6,,9412,26,0.25747
45,6,,9615,26,0.27502
45,6,,9720,26,0.27502
45,6,,9118,26,0.09919
45,6,,9264,26,0.14132
45,6,,9310,36,0.17872
45,6,,9349,26,0.21443
45,6,,9412,26,0.22628
45,6,,9615,26,0.24697
45,6,,9720,26,0.24697
45,6,,9310,36,0.18742
45,6,,9615,26,0.14158
45,6,,9620,36,0.21057
45,6,,9720,26,0.13984
45,6,,9153,6,0.21084
45,6,,9186,6,0.21419
45,6,,9842,6,0.21947
45,6,,9977,6,0.19624
45,6,,9153,6,0.23388
45,6,,9186,6,0.24708
45,6,,9396,6,0.33588
45,6,,9549,6,0.2614
45,6,,9113,26,0.09726
45,6,,9118,26,0.33662
45,6,,9131,26,0.0128
45,6,,9264,26,0.40202
45,6,,9349,26,0.12159
45,6,,9412,26,0.22884
45,6,,9615,26,0.02899
45,6,,9720,26,0.05554
45,6,,9140,36,0.35947
45,6,,9144,6,0.0762
45,6,,9173,26,0.21341
45,6,,9198,6,0.18092
45,6,,9252,6,0.10655
45,6,,9264,26,0.13397
45,6,,9285,6,0.16321
45,6,,9310,36,0.04912
45,6,,9412,26,0.07312
45,6,,9615,26,0.04803
45,6,,9701,26,0.35947
45,6,,9720,26,0.07716
45,6,,9842,6,0.04452
45,6,,9857,6,0.06215
45,6,,9977,6,0.07743
45,6,,9993,6,0.0996
45,6,,9153,6,0.31256
45,6,,9186,6,0.31256
45,6,,9396,6,0.25837
45,6,,9549,6,0.22854
45,6,,9842,6,0.11236
45,6,,9977,6,0.09351
45,6,,9310,36,0.16683
45,6,,9615,26,0.04861
45,6,,9620,36,0.30778
45,6,,9720,26,0.05609
25,6,,9140,36,0.03071
25,6,,9144,6,0.03071
25,6,,9161,6,0.02083
25,6,,9173,26,0.03071
25,6,,9198,6,0.03071
25,6,,9252,6,0.03071
25,6,,9285,6,0.03071
25,6,,9351,26,0.03071
25,6,,9351,36,0.03071
25,6,,9520,6,0.03071
25,6,,9520,26,0.03071
25,6,,9701,26,0.03071
25,6,,9857,6,0.03071
25,6,,9993,6,0.03071
25,6,,9144,6,0.02494
25,6,,9161,6,0.02494
25,6,,9173,26,0.02494
25,6,,9198,6,0.02494
25,6,,9252,6,0.02494
25,6,,9285,6,0.02494
25,6,,9351,26,0.02494
25,6,,9351,36,0.02494
25,6,,9520,6,0.02494
25,6,,9520,26,0.02494
25,6,,9701,26,0.02364
25,6,,9857,6,0.02494
25,6,,9993,6,0.02494
45,6,,9147,25,0.40668
45,6,,9333,26,0.04945
45,6,,9472,25,0.05769
45,6,,9472,26,0.05769
45,6,,9822,26,0.09418
45,6,,9901,26,0.05934
45,6,,9147,25,0.2947
45,6,,9501,26,0.09216
45,6,,9822,26,0.09216
45,6,,9501,26,0.0151
45,6,,9822,26,0.00656
45,6,,9147,25,0.08515
45,6,,9501,26,0.22104
45,6,,9822,26,0.22306
45,6,,9147,25,0.11731
45,6,,9501,26,0.22139
45,6,,9581,26,0.08089
45,6,,9822,26,0.23562
45,6,,9901,26,0.14183
45,6,,9147,25,0.14519
45,6,,9333,26,0.13467
45,6,,9472,25,0.19742
45,6,,9472,26,0.19742
45,6,,9501,26,0.04738
45,6,,9581,26,0.23671
45,6,,9747,26,0.0988
45,6,,9822,26,0.14226
45,6,,9901,26,0.23671
25,6,,9144,6,0.02413
25,6,,9161,6,0.02413
25,6,,9173,26,0.02413
25,6,,9198,6,0.02413
25,6,,9252,6,0.02413
25,6,,9285,6,0.02413
25,6,,9351,26,0.02413
25,6,,9351,36,0.02413
25,6,,9520,6,0.02413
25,6,,9520,26,0.02413
25,6,,9701,26,0.02261
25,6,,9857,6,0.02413
25,6,,9993,6,0.02413
45,6,,9147,25,0.07342
45,6,,9501,26,0.01918
45,6,,9822,26,0.00834
45,6,,3240,11,0.05172
45,6,,3457,16,0.05172
45,6,,3615,11,0.00811
45,6,,3615,16,0.00811
45,6,,3622,11,0.00821
45,6,,3622,12,0.00821
45,6,,3622,16,0.00821
45,6,,3772,11,0.05172
45,6,,3772,16,0.05172
45,6,,3240,11,0.14287
45,6,,3457,16,0.1239
45,6,,3772,11,0.15741
45,6,,3772,16,0.15741
45,6,,3195,11,0.24537
45,6,,3195,12,0.24537
45,6,,3195,11,0.08149
45,6,,3195,12,0.08149
45,6,,3195,11,0.02046
45,6,,3195,12,0.02046
45,6,,3195,11,0.27202
45,6,,3195,12,0.27202
25,6,,3195,11,0.01637
25,6,,3195,12,0.01637
25,6,,3195,11,0.0158
25,6,,3195,12,0.0158
45,6,,9479,30,0.15806
45,6,,9629,30,0.15806
45,6,,9479,30,0.05199
45,6,,9629,30,0.04653
45,6,,9479,30,0.02741
45,6,,9629,30,0.02741
45,6,,9479,30,0.01735
45,6,,9629,30,0.01735
45,6,,9479,30,0.08229
45,6,,9629,30,0.08229
45,6,,9753,30,0.02914
45,6,,9812,30,0.05638
45,6,,9479,30,0.11939
45,6,,9629,30,0.11939
45,6,,9753,30,0.03325
45,6,,9812,30,0.05993
45,6,,9388,30,0.1532
45,6,,9479,30,0.16861
45,6,,9629,30,0.19238
45,6,,9733,30,0.23036
45,6,,9753,30,0.27201
45,6,,9778,30,0.24752
45,6,,9812,30,0.24999
45,6,,9967,30,0.12149
45,6,,9479,30,0.06545
45,6,,9629,30,0.08257
45,6,,9388,30,0.07902
45,6,,9479,30,0.21393
45,6,,9629,30,0.24215
45,6,,9733,30,0.18834
45,6,,9753,30,0.22213
45,6,,9778,30,0.20494
45,6,,9812,30,0.24402
45,6,,9967,30,0.05418
45,6,,9479,30,0.06717
45,6,,9629,30,0.06806
45,6,,9479,30,0.02774
45,6,,9629,30,0.02774
45,6,,9479,30,0.07396
45,6,,9629,30,0.08813
45,6,,7398,30,0.02102
45,6,,7398,32,0.02102
45,6,,7398,33,0.02102
45,6,,7398,35,0.02102
45,6,,7398,39,0.02102
45,6,,7169,30,0.00551
45,6,,7169,32,0.00551
45,6,,7169,35,0.00551
45,6,,7398,30,0.0497
45,6,,7398,32,0.0497
45,6,,7398,33,0.0497
45,6,,7398,35,0.0497
45,6,,7398,39,0.0497
45,6,,7514,39,0.00808
45,6,,7169,30,0.03694
45,6,,7169,32,0.03694
45,6,,7169,35,0.03694
45,6,,7398,30,0.04606
45,6,,7398,32,0.04606
45,6,,7398,33,0.04606
45,6,,7398,35,0.04606
45,6,,7398,39,0.04606
45,6,,7514,39,0.00834
45,6,,7169,30,0.04606
45,6,,7169,32,0.04606
45,6,,7169,35,0.04606
45,6,,7398,30,0.12924
45,6,,7398,32,0.12924
45,6,,7398,33,0.12924
45,6,,7398,35,0.12924
45,6,,7398,39,0.12924
45,6,,7514,39,0.12924
45,6,,7734,30,0.05553
45,6,,7734,32,0.05553
45,6,,7734,33,0.05553
45,6,,7734,35,0.05553
45,6,,7167,30,0.01958
45,6,,7167,32,0.01958
45,6,,7167,33,0.01958
45,6,,7167,35,0.01958
45,6,,7169,30,0.12924
45,6,,7169,32,0.12924
45,6,,7169,35,0.12924
45,6,,7398,30,0.09353
45,6,,7398,32,0.09353
45,6,,7398,33,0.09353
45,6,,7398,35,0.09353
45,6,,7398,39,0.09353
45,6,,7514,39,0.09353
45,6,,7734,30,0.09353
45,6,,7734,32,0.09353
45,6,,7734,33,0.09353
45,6,,7734,35,0.09353
45,6,,7990,39,0.08358
45,6,,7167,30,0.09353
45,6,,7167,32,0.09353
45,6,,7167,33,0.09353
45,6,,7167,35,0.09353
45,6,,7169,30,0.09353
45,6,,7169,32,0.09353
45,6,,7169,35,0.09353
25,6,,9203,34,0.18635
25,6,,9288,34,0.18635
25,6,,9361,17,0.18635
25,6,,9693,34,0.09632
25,6,,9740,17,0.17431
25,6,,9802,34,0.03534
25,6,,9172,6,0.0355
25,6,,9203,34,0.12571
25,6,,9288,34,0.12571
25,6,,9339,6,0.10442
25,6,,9339,20,0.10442
25,6,,9361,17,0.12571
25,6,,9552,6,0.07011
25,6,,9552,25,0.07011
25,6,,9693,34,0.01247
25,6,,9740,17,0.12571
45,6,,7398,30,0.21847
45,6,,7398,32,0.21847
45,6,,7398,33,0.21847
45,6,,7398,35,0.21847
45,6,,7398,39,0.21847
45,6,,7514,39,0.21847
45,6,,7706,39,0.05254
45,6,,7734,30,0.21847
45,6,,7734,32,0.21847
45,6,,7734,33,0.21847
45,6,,7734,35,0.21847
45,6,,7990,39,0.21847
45,6,,7167,30,0.21847
45,6,,7167,32,0.21847
45,6,,7167,33,0.21847
45,6,,7167,35,0.21847
45,6,,7169,30,0.21847
45,6,,7169,32,0.21847
45,6,,7169,35,0.21847
25,6,,7398,30,0.17291
25,6,,7398,32,0.17291
25,6,,7398,33,0.17291
25,6,,7398,35,0.17291
25,6,,7398,39,0.17291
25,6,,7514,39,0.17291
25,6,,7706,39,0.00558
25,6,,7734,30,0.17291
25,6,,7734,32,0.17291
25,6,,7734,33,0.17291
25,6,,7734,35,0.17291
25,6,,7990,39,0.17291
25,6,,7167,30,0.17291
25,6,,7167,32,0.17291
25,6,,7167,33,0.17291
25,6,,7167,35,0.17291
25,6,,7169,30,0.17291
25,6,,7169,32,0.17291
25,6,,7169,35,0.17291
35,6,,7398,30,0.20862
35,6,,7398,32,0.20862
35,6,,7398,33,0.20862
35,6,,7398,35,0.20862
35,6,,7398,39,0.20862
35,6,,7514,39,0.20862
35,6,,7734,30,0.11365
35,6,,7734,32,0.11365
35,6,,7734,33,0.11365
35,6,,7734,35,0.11365
35,6,,7990,39,0.19082
35,6,,7100,3,0.06314
35,6,,7100,5,0.06314
35,6,,7100,14,0.06314
35,6,,7100,15,0.06314
35,6,,7100,16,0.06314
35,6,,7100,17,0.06314
35,6,,7100,30,0.06314
35,6,,7100,31,0.06314
35,6,,7100,32,0.06314
35,6,,7100,33,0.06314
35,6,,7100,34,0.06314
35,6,,7100,35,0.06314
35,6,,7100,39,0.06314
35,6,,7167,30,0.10372
35,6,,7167,32,0.10372
35,6,,7167,33,0.10372
35,6,,7167,35,0.10372
35,6,,7169,30,0.20862
35,6,,7169,32,0.20862
35,6,,7169,35,0.20862
45,6,,7398,30,0.25919
45,6,,7398,32,0.25919
45,6,,7398,33,0.25919
45,6,,7398,35,0.25919
45,6,,7398,39,0.25919
45,6,,7514,39,0.22326
45,6,,7734,30,0.20809
45,6,,7734,32,0.20809
45,6,,7734,33,0.20809
45,6,,7734,35,0.20809
45,6,,7990,39,0.08812
45,6,,7167,30,0.17957
45,6,,7167,32,0.17957
45,6,,7167,33,0.17957
45,6,,7167,35,0.17957
45,6,,7169,30,0.25092
45,6,,7169,32,0.25092
45,6,,7169,35,0.25092
45,6,,7310,32,0.08224
45,6,,7310,33,0.08224
45,6,,7547,33,0.11275
45,6,,7892,33,0.07978
45,6,,9785,33,0.11929
45,6,,7310,32,0.03494
45,6,,7310,33,0.03494
45,6,,7465,33,0.03958
45,6,,7547,33,0.24743
45,6,,7892,33,0.12451
45,6,,9181,33,0.36503
45,6,,9234,33,0.37778
45,6,,9243,30,0.07178
45,6,,9277,30,0.1124
45,6,,9439,30,0.0662
45,6,,9568,33,0.08982
45,6,,9604,33,0.31062
45,6,,9652,30,0.07551
45,6,,9652,33,0.07551
45,6,,9770,30,0.04709
45,6,,9785,33,0.28369
45,6,,9844,30,0.05368
45,6,,7310,32,0.50698
45,6,,7310,33,0.50698
45,6,,7465,33,0.43681
45,6,,7547,33,0.52674
