ZONING_COD,StopID,Route,area_sq_mi
PD,1323,27,0.000939886
PD,1323,29,0.000939886
PD,1323,56,0.000939886
PD,1579,6,0.000939886
PD,1579,14,0.000939886
PD,1579,15,0.000939886
PD,1579,25,0.000939886
PD,1579,27,0.000939886
PD,1579,37,0.000939886
PD,1579,56,0.000939886
PD,1579,57,0.000939886
PD,1618,6,0.000107128
PD,1618,14,0.000107128
PD,1618,15,0.000107128
PD,1618,25,0.000107128
PD,1618,27,0.000107128
PD,1618,29,0.000107128
PD,1618,37,0.000107128
PD,1737,3,0.000939886
PD,1737,4,0.000939886
PD,1737,38,0.000939886
PD,1787,1,6.92941E-05
PD,1787,2,6.92941E-05
PD,1787,3,6.92941E-05
PD,1787,4,6.92941E-05
PD,1787,5,6.92941E-05
PD,1787,6,6.92941E-05
PD,1787,11,6.92941E-05
PD,1787,12,6.92941E-05
PD,1787,14,6.92941E-05
PD,1787,15,6.92941E-05
PD,1787,19,6.92941E-05
PD,1787,25,6.92941E-05
PD,1787,27,6.92941E-05
PD,1787,29,6.92941E-05
PD,1787,37,6.92941E-05
PD,1787,47,6.92941E-05
PD,1787,56,6.92941E-05
PD,1787,57,6.92941E-05
PD,1787,58,6.92941E-05
PD,1787,70,6.92941E-05
PD,1787,71,6.92941E-05
PD,1787,72,6.92941E-05
PD,1787,75,6.92941E-05
PD,1823,3,3.55603E-05
PD,1823,4,3.55603E-05
PD,1823,38,3.55603E-05
PD,1839,3,0.000939886
PD,1839,4,0.000939886
PD,1839,38,0.000939886
PD,1870,56,0.000939886
PD,1870,57,0.000939886
SR-C1,6171,70,0.000133989
SR-C1,6171,71,0.000133989
SR-C1,6171,72,0.000133989
SR-C1,6243,72,0.005493388
SR-C1,6291,70,0.077380325
SR-C1,6291,71,0.077380325
SR-C1,6291,72,0.077380325
SR-C1,6322,71,0.017374607
SR-C1,6322,72,0.017374607
SR-C1,6326,70,0.092324754
SR-C1,6326,71,0.092324754
SR-C1,6326,72,0.092324754
SR-C1,6439,70,0.065091442
SR-C1,6439,71,0.065091442
SR-C1,6439,72,0.065091442
SR-C1,6569,70,0.096471342
SR-C1,6569,72,0.096471342
SR-C1,6698,71,0.053638431
SR-C1,6894,70,0.002196158
SR-C1,6894,71,0.002196158
SR-C1,6894,72,0.002196158
SR-C1,2392,70,0.004207183
SR-C1,2392,71,0.004207183
SR-C1,2392,72,0.004207183
TR-C1,7306,39,0.004860319
TR-C1,7398,30,0.00584039
TR-C1,7398,32,0.00584039
TR-C1,7398,33,0.00584039
TR-C1,7398,35,0.00584039
TR-C1,7398,39,0.00584039
TR-C1,7446,38,0.027294528
TR-C1,7466,38,0.049999146
TR-C1,7514,39,0.00967986
TR-C1,7706,39,0.034982329
TR-C1,7829,38,0.002077755
TR-C1,7926,38,0.027384154
TR-C1,7990,39,0.022841099
TR-C1,7100,3,0.044896421
TR-C1,7100,5,0.044896421
TR-C1,7100,14,0.044896421
TR-C1,7100,15,0.044896421
TR-C1,7100,16,0.044896421
TR-C1,7100,17,0.044896421
TR-C1,7100,30,0.044896421
TR-C1,7100,31,0.044896421
TR-C1,7100,32,0.044896421
TR-C1,7100,33,0.044896421
TR-C1,7100,34,0.044896421
TR-C1,7100,35,0.044896421
TR-C1,7100,39,0.044896421
TR-C1,1105,3,0.04852128
TR-C1,1105,15,0.04852128
TR-C1,1153,3,0.057471338
TR-C1,1153,16,0.057471338
TR-C1,1153,31,0.057471338
TR-C1,1206,5,0.002477185
