StopID,Route,DailyBoard
8235,58,6.03
8236,58,0.17
8237,50,9.06
8237,58,4.35
8239,57,6.67
8241,50,0.67
8241,58,0.17
8246,55,1.18
8253,57,12.17
8259,56,0.17
8262,55,0.67
8263,56,1
8263,57,5.5
8274,50,0.84
8274,51,0.83
8281,50,27.52
8283,56,2.17
8297,51,2.5
8297,52,12.08
8301,50,30.38
8301,58,0.17
8304,56,0.33
8306,57,1
8308,56,0.17
8310,50,14.1
8313,58,0.17
8319,58,1.84
8323,57,4.5
8333,56,0.17
8341,51,0.67
8351,51,4.5
8352,50,14.94
8352,56,0.17
8363,51,3.33
8363,56,10
8375,56,4.5
8377,56,2.67
8378,58,0.17
8379,57,0.17
8384,55,6.56
8388,56,0.83
8401,51,1.67
8401,56,1.83
8405,57,4.67
8409,50,9.9
8418,18,0.51
8418,50,0.67
8418,51,0.83
8418,57,0.33
8427,50,1.01
8427,58,0.67
8428,52,2.85
8432,57,2.83
8439,55,0.17
8441,51,0.83
8441,56,0.33
8452,50,2.01
8452,51,0.17
8469,57,14.5
8471,58,4.35
8478,58,2.51
8480,51,0.83
8491,58,0.5
8496,58,5.02
8512,50,29.2
8512,56,0.67
8513,58,1.67
8519,57,2.67
8531,50,7.72
8548,58,0.33
8551,51,0.17
8551,56,1.17
8569,50,5.37
8572,51,1.33
8572,57,0.17
8580,57,0.83
8592,56,3.5
8594,56,0.33
8597,55,1.18
8604,18,0.34
8604,56,4
8605,18,3.55
8605,51,0.17
8605,56,2.17
8605,57,2.33
8614,51,0.17
8633,18,1.69
8633,51,0.33
8633,56,1.5
8633,57,2.33
8634,51,2
8634,57,0.33
8644,56,0.17
8644,57,2.67
8650,50,8.56
8661,18,0.34
8661,56,0.17
8664,51,4.83
8664,57,2.67
8675,57,5.5
8685,51,0.83
8690,55,10.43
8709,57,5
8712,50,35.58
8712,56,0.17
8714,51,1.83
8714,57,0.17
8721,56,0.17
8723,57,7.67
8728,55,3.7
8738,58,1.17
8739,51,5.33
8739,56,3.67
8745,57,5.17
8747,56,2.33
8751,56,0.33
8753,56,3.83
8755,58,1.84
8763,57,0.67
8769,50,19.13
8769,58,0.17
8776,56,5.5
8779,57,10
8796,50,2.69
8826,56,0.17
8829,51,1.33
8829,56,2.83
8839,58,0.17
8845,56,2.33
8845,57,0.17
8849,56,0.83
8855,51,1.17
8855,56,1
8857,57,2.83
8866,55,2.86
8868,56,0.33
8868,57,4
8869,56,2.5
8872,50,9.4
8872,51,1.17
8893,57,5
8915,58,2.68
8919,57,3.83
8927,55,0.67
8937,56,1.83
8941,57,4
8944,51,0.17
8953,55,2.02
8956,51,2.5
8958,51,0.33
8985,51,1.83
8985,56,1.67
9100,6,161.8
9100,34,31.43
9101,6,7.69
9101,34,19.16
9107,20,5.5
9113,26,2.53
9116,6,1.67
9118,26,0.17
9131,26,0.51
9132,6,7.35
9133,6,0.5
9134,6,17.22
9135,6,2.34
9135,20,0.17
